headline_sentiment_comp,headline_sentiment_pos,headline_sentiment_neu,headline_sentiment_neg,headline_sentiment_but,text_sentiment_comp,text_sentiment_pos,text_sentiment_neu,text_sentiment_neg,text_sentiment_but
-0.296,0.253,0.479,0.267,0,-0.998,0.057,0.804,0.139,3
0,0,1,0,0,-0.552,0.055,0.887,0.058,0
0,0,1,0,0,-0.998,0.071,0.813,0.116,7
-0.421,0,0.593,0.407,0,-0.998,0.055,0.837,0.109,8
0,0,1,0,0,0.97,0.052,0.928,0.02,1
-0.052,0.155,0.676,0.169,0,-0.853,0.058,0.868,0.074,6
-0.318,0.101,0.698,0.202,0,-0.993,0.078,0.802,0.12,3
0,0,1,0,0,0.896,0.055,0.914,0.03,1
0,0,1,0,0,0.244,0.1,0.802,0.099,5
-0.557,0,0.735,0.265,0,-0.931,0.074,0.835,0.091,2
0,0,1,0,0,0.999,0.154,0.771,0.076,2
0,0,1,0,0,0.999,0.16,0.791,0.049,10
-0.308,0,0.756,0.244,0,0.999,0.136,0.794,0.07,5
-0.691,0,0.584,0.416,0,-0.993,0.089,0.796,0.115,3
-0.893,0,0.428,0.572,0,-0.999,0.019,0.854,0.127,1
-0.649,0.149,0.435,0.416,0,-0.995,0.098,0.762,0.14,4
0,0,1,0,0,0.998,0.112,0.832,0.056,7
0.34,0.194,0.806,0,0,0.448,0.049,0.91,0.042,3
0.25,0.237,0.614,0.149,0,0.998,0.125,0.804,0.071,4
0,0,1,0,1,0.879,0.075,0.864,0.061,3
-0.869,0,0.316,0.684,0,-1,0.044,0.7,0.256,3
0.026,0.121,0.879,0,0,-0.974,0.09,0.805,0.105,3
-0.431,0,0.722,0.278,1,-0.92,0.088,0.816,0.096,6
0,0,1,0,0,-0.947,0.046,0.888,0.066,0
0,0,1,0,0,0.999,0.128,0.825,0.047,8
-0.511,0,0.732,0.268,0,-0.999,0.035,0.812,0.154,1
-0.637,0,0.634,0.366,0,-1,0.051,0.773,0.176,7
-0.077,0.178,0.62,0.202,0,-0.947,0.1,0.789,0.111,5
-0.772,0,0.599,0.401,0,-0.998,0.084,0.773,0.143,1
-0.382,0.155,0.545,0.3,0,-0.996,0.056,0.8,0.144,0
0.25,0.182,0.818,0,0,-0.998,0.067,0.743,0.19,2
0,0,1,0,0,0.988,0.097,0.838,0.065,4
-0.296,0,0.82,0.18,0,0.478,0.072,0.86,0.068,5
-0.625,0,0.661,0.339,0,-0.992,0.057,0.852,0.091,3
0.178,0.254,0.746,0,0,-0.963,0.07,0.847,0.083,6
0,0,1,0,0,-0.997,0.096,0.757,0.147,4
0,0,1,0,0,0.97,0.088,0.842,0.071,6
-0.71,0,0.576,0.424,0,-0.996,0.069,0.778,0.153,5
-0.34,0,0.806,0.194,0,0.995,0.117,0.831,0.052,3
-0.919,0,0.435,0.565,0,-1,0.022,0.688,0.289,1
